                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4328,                 2.1885,                 1.3158,                0.81273,                0.08896,                0.35099,                0.19704,                 1.3302,                 2.7778,                 1.2663,                 0.0006,                 0.0006,                 0.0006
                      2,                 1.4888,                 1.7881,                 1.3585,                0.48335,                0.38115,                0.39922,                0.19819,                 1.6186,                 2.3473,                 1.4669,              0.0011958,              0.0011958,              0.0011958
                      3,                 1.5839,                 1.7876,                  1.415,                0.38517,                0.28499,                0.19876,                0.09044,                 2.0186,                 2.9481,                 1.8522,              0.0017671,              0.0017671,              0.0017671
                      4,                 1.6068,                 1.7553,                 1.4306,                  0.259,                 0.2541,                0.18235,                0.07035,                 2.2909,                 3.4552,                 2.0805,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.6172,                 1.7257,                 1.4429,                0.59525,                0.47951,                0.49351,                0.24383,                 1.7082,                 2.0708,                 1.5699,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.5833,                 1.6317,                 1.4283,                0.60099,                0.47131,                0.49942,                0.25354,                 1.7207,                 1.8647,                 1.5365,               0.001802,               0.001802,               0.001802
                      7,                  1.499,                 1.4963,                 1.3952,                0.68758,                 0.5412,                0.61966,                0.33014,                 1.5569,                 1.8113,                  1.433,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.4996,                 1.4415,                 1.3665,                0.62113,                0.53279,                0.54341,                0.27263,                 1.7419,                 1.9776,                  1.684,              0.0017228,              0.0017228,              0.0017228
                      9,                  1.493,                 1.4332,                 1.3723,                0.66876,                0.50474,                0.53905,                 0.2817,                 1.6465,                 1.8348,                 1.5095,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.4664,                 1.4237,                 1.3529,                0.74878,                0.53689,                 0.6172,                0.35013,                 1.4642,                 1.5257,                 1.3846,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.4604,                   1.36,                 1.3373,                0.67217,                0.56148,                0.63149,                0.34809,                 1.5087,                 1.7745,                 1.3912,               0.001604,               0.001604,               0.001604
                     12,                 1.3734,                  1.247,                 1.2922,                0.72111,                0.64754,                0.69325,                0.39888,                 1.4989,                  1.279,                 1.4062,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.4298,                 1.2913,                 1.3431,                0.65197,                0.53742,                0.61852,                0.33092,                 1.5678,                 1.5038,                 1.4905,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.4175,                 1.2466,                 1.3171,                0.73055,                0.69262,                0.73762,                0.41642,                 1.4046,                 1.2034,                 1.3469,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.3861,                 1.2337,                 1.2998,                0.76152,                0.62819,                 0.7063,                0.38952,                 1.5035,                  1.296,                 1.3678,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.3477,                 1.1849,                 1.2859,                0.80132,                0.65164,                0.72444,                0.41711,                 1.4449,                 1.1932,                 1.3255,               0.001406,               0.001406,               0.001406
                     17,                 1.3549,                 1.1914,                 1.2717,                0.73727,                0.65574,                0.71352,                0.41236,                 1.3934,                 1.2526,                 1.3389,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.2851,                 1.1523,                 1.2511,                0.78069,                0.71311,                0.75943,                0.41566,                 1.4596,                 1.2087,                 1.3431,              0.0013268,              0.0013268,              0.0013268
                     19,                  1.268,                 1.0906,                 1.2329,                0.81448,                0.63934,                0.71159,                0.42653,                 1.3734,                 1.2294,                 1.2601,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.2217,                 1.0426,                 1.1922,                0.79808,                0.68033,                0.74197,                0.46466,                 1.3346,                 1.1053,                 1.2533,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.2266,                 1.0695,                 1.2015,                0.79055,                0.61066,                0.72228,                0.42577,                 1.3493,                 1.1438,                 1.2626,               0.001208,               0.001208,               0.001208
                     22,                 1.1913,                 0.9754,                 1.1968,                0.82308,                0.61885,                0.71274,                0.42837,                 1.3345,                 1.2327,                 1.2578,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.2136,                 1.0218,                 1.1966,                0.78942,                0.66065,                0.74366,                0.45391,                 1.3319,                 1.0864,                 1.2531,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.2016,                0.98009,                 1.1953,                0.78853,                0.70492,                0.77049,                 0.4531,                  1.358,                 1.1356,                 1.2786,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.1754,                0.95949,                 1.1637,                0.83832,                0.70902,                0.76028,                0.47652,                 1.2759,                 1.0438,                 1.1959,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.1684,                0.94467,                  1.152,                0.85757,                0.69093,                0.77474,                0.47601,                 1.2735,                 1.0745,                 1.2159,                0.00101,                0.00101,                0.00101
                     27,                 1.1376,                 0.9296,                 1.1584,                0.81548,                0.69672,                0.76602,                0.45415,                 1.3393,                 1.1349,                  1.279,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.1676,                0.91662,                 1.1694,                0.79267,                0.66393,                0.75367,                0.43902,                 1.3638,                 1.1258,                 1.2632,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.1214,                0.87619,                 1.1368,                0.83132,                0.70695,                0.78944,                0.48261,                 1.2101,                 1.0307,                 1.1825,              0.0008912,              0.0008912,              0.0008912
                     30,                  1.108,                0.86063,                 1.1377,                0.79613,                0.70492,                 0.7674,                0.46289,                 1.2906,                 1.0091,                 1.2186,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.0978,                0.87043,                 1.1205,                0.85447,                0.68033,                0.77818,                0.46433,                 1.2794,                 1.0341,                 1.2026,               0.000812,               0.000812,               0.000812
                     32,                 1.0689,                0.85338,                 1.1279,                0.88174,                0.68033,                0.77947,                0.50688,                 1.1573,                 1.0255,                 1.1511,              0.0007724,              0.0007724,              0.0007724
                     33,                  1.043,                0.83507,                 1.1132,                0.87157,                0.68443,                0.79191,                0.51682,                  1.159,                0.93982,                 1.1299,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.0582,                0.79991,                 1.0945,                0.88142,                0.71721,                0.81393,                0.52684,                 1.1391,                0.91367,                 1.1165,              0.0006932,              0.0006932,              0.0006932
                     35,                 0.9847,                0.76164,                 1.0868,                 0.8723,                0.70902,                0.80687,                0.51481,                 1.1954,                0.90849,                 1.1469,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0006,                0.77075,                 1.0802,                0.84802,                0.71311,                0.80279,                0.50147,                 1.2374,                0.96562,                 1.2108,               0.000614,               0.000614,               0.000614
                     37,                0.99964,                0.76763,                 1.0835,                0.88601,                0.71311,                0.79971,                0.50733,                 1.1971,                0.98734,                 1.1705,              0.0005744,              0.0005744,              0.0005744
                     38,                0.99986,                0.75865,                 1.0799,                 0.8372,                0.73765,                0.80279,                0.52656,                 1.1774,                0.96964,                 1.1437,              0.0005348,              0.0005348,              0.0005348
                     39,                 0.9893,                 0.7543,                 1.0811,                 0.8812,                0.72956,                0.82822,                0.53099,                 1.1371,                0.90326,                 1.1421,              0.0004952,              0.0004952,              0.0004952
                     40,                0.93043,                 0.7282,                 1.0625,                0.87696,                 0.7418,                 0.8188,                0.52482,                 1.1561,                0.89312,                 1.1701,              0.0004556,              0.0004556,              0.0004556
                     41,                  0.888,                0.66648,                 1.0168,                 0.8333,                0.76639,                0.82738,                0.53444,                 1.1621,                 0.8867,                 1.1729,               0.000416,               0.000416,               0.000416
                     42,                0.85564,                0.63542,                 1.0112,                0.86445,                 0.7459,                0.82027,                0.51414,                 1.1738,                0.87598,                  1.165,              0.0003764,              0.0003764,              0.0003764
                     43,                0.83179,                0.61909,                0.99303,                0.87812,                0.70866,                0.80857,                0.53018,                 1.1497,                0.91233,                 1.1345,              0.0003368,              0.0003368,              0.0003368
                     44,                 0.8357,                0.58711,                0.99688,                0.87083,                0.71839,                0.81523,                0.53278,                 1.1486,                0.90073,                 1.1401,              0.0002972,              0.0002972,              0.0002972
                     45,                 0.8102,                0.57253,                0.98991,                0.88439,                0.72951,                0.82328,                0.54147,                 1.1324,                0.87538,                 1.1357,              0.0002576,              0.0002576,              0.0002576
                     46,                0.79038,                0.57044,                 0.9734,                0.91091,                0.71234,                0.81618,                0.53395,                 1.1392,                0.89266,                 1.1447,               0.000218,               0.000218,               0.000218
                     47,                0.79286,                0.55624,                0.97788,                0.90035,                0.71721,                0.80235,                0.53265,                 1.1195,                0.92341,                 1.1159,              0.0001784,              0.0001784,              0.0001784
                     48,                 0.7787,                0.55492,                0.98366,                0.91469,                0.71721,                0.82499,                0.54992,                  1.107,                0.87811,                 1.1164,              0.0001388,              0.0001388,              0.0001388
                     49,                0.77027,                0.54357,                0.95668,                0.92431,                0.72131,                0.83625,                0.55903,                 1.1005,                0.84287,                 1.1165,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.76284,                 0.5369,                0.96397,                0.93241,                0.71311,                0.83541,                0.56531,                  1.087,                0.84221,                 1.1034,               5.96e-05,               5.96e-05,               5.96e-05
